Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
92,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
93,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
94,imp,7/19/21,tomatoes,SIMP,0,0,,EK,,CON
95,imp,7/19/21,zinnia,SIMP,0,0,,EK,died in incubator 7/20,CON
96,imp,7/19/21,zinnia,SIMP,0,0,,EK,died in incubator 7/20,CON
97,imp,7/19/21,tomatoes,SIMP,0,0,,EK,,CON
98,imp,7/19/21,daisy,SIMP,0,0,,EK,,CON
99,imp,7/19/21,silphium,SIMP,0,0,,EK,,CON
100,imp,7/19/21,echinacea,SIMP,0,0,,EK,,CON
101,imp,7/19/21,origanum,SIMP,0,0,,EK,,CON
102,imp,7/19/21,origanum,SIMP,0,0,,EK,,CON
103,imp,7/19/21,silphium,SIMP,0,0,,EK,,CON
104,imp,7/19/21,echinacea,SIMP,0,0,,EK,,CON
105,imp,7/19/21,echinacea,SIMP,0,0,,EK,,CON
106,imp,7/19/21,echinacea,SIMP,0,0,,EK,,CON
107,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
108,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
109,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
110,imp,7/19/21,tomatoes,SIMP,0,0,,EK,,CON
111,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
112,imp,7/19/21,monarda,SIMP,0,0,,EK,mint family,CON
113,imp,7/19/21,tomatoes,SIMP,0,0,,EK,,CON
114,imp,7/19/21,tomatoes,SIMP,0,0,,EK,,CON
115,imp,7/19/21,monarda,SIMP,0,0,,EK,mint family,CON
116,imp,7/19/21,zinnia,SIMP,0,0,,EK,,CON
117,imp,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
118,imp,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
119,vagans,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
120,imp,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
121,gris,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
122,imp,7/20/21,zinnia,LAUR,0,0,,SG/RY/EK,,CUT
123,vagans,7/20/21,zinnia,LAUR,1,2,,RY,,CUT
124,imp,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
125,vagans,7/20/21,zinnia,LAUR,1,3,,SG,,CUT
126,vagans,7/20/21,zinnia,LAUR,1,1,,SG,,CUT
127,vagans,7/20/21,zinnia,LAUR,1,100,,SG/RY/EK,,CUT
128,imp,7/20/21,cosmos,LAUR,0,0,,RY,,CUT
129,imp,7/20/21,cosmos,LAUR,0,0,,RY/SG,,CUT
130,vagans,7/20/21,zinnia,LAUR,1,10,,RY/SG,,CUT
131,vagans,7/20/21,zinnia,LAUR,0,0,,EK,,CUT
132,vagans,7/20/21,zinnia,LAUR,0,0,,EK,,CUT
133,imp,7/20/21,cosmos,LAUR,1,45,,RY/SG,rod like bacteria,CUT
134,vagans,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
135,vagans,7/20/21,zinnia,LAUR,1,50,,EK,,CUT
136,vagans,7/20/21,zinnia,LAUR,1,25,,RY,,CUT
137,imp,7/20/21,zinnia,LAUR,0,0,,RY,few found outside of squares,CUT
138,vagans,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
139,vagans,7/20/21,zinnia,LAUR,1,1,,SG,few found outside of squares,CUT
140,vagans,7/20/21,zinnia,LAUR,0,0,,SG,,CUT
141,vagans,7/20/21,zinnia,LAUR,0,0,,SG,,CUT
142,vagans,7/20/21,zinnia,LAUR,1,42,,SG,,CUT
143,vagans,7/20/21,zinnia,LAUR,1,48,,RY,,CUT
144,gris,7/20/21,cosmos,LAUR,0,0,,RY,,CUT
145,vagans,7/20/21,zinnia,LAUR,1,26,,SG,,CUT
146,vagans,7/20/21,zinnia,LAUR,0,0,,SG,rod-like bacteria,CUT
147,vagans,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
148,vagans,7/20/21,zinnia,LAUR,1,190,,RY/SG/EK,,CUT
149,vagans,7/20/21,zinnia,LAUR,0,0,,EK,,CUT
150,vagans,7/20/21,zinnia,LAUR,1,44,,EK,,CUT
151,vagans,7/20/21,zinnia,LAUR,1,13,,EK,,CUT
152,vagans,7/20/21,zinnia,LAUR,0,0,,EK,,CUT
153,bimac,7/20/21,zinnia,LAUR,0,0,,RY,,CUT
154,vagans,7/20/21,zinnia,LAUR,1,39,,RY,,CUT
155,bimac,7/20/21,zinnia,LAUR,1,82,,SG,,CUT
156,vagans,7/20/21,zinnia,LAUR,NA,NA,,NA,died 7/21/21,CUT
157,vagans,7/20/21,zinnia,LAUR,0,0,,SG,,CUT
