bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
63,imp,7/15/2021,2021196,clover,RCON,1,A,0,0,2.87,,AEF,,CON
64,imp,7/15/2021,2021196,clover,RCON,1,A,0,0,1.742,,AEF,,CON
65,bimac,7/15/2021,2021196,clover,RCON,1,NA,NA,NA,NA,,AEF,,CON
66,NA,7/15/2021,2021196,clover,RCON,1,NA,NA,NA,NA,,AEF,,CON
67,imp,7/15/2021,2021196,clover,RCON,1,A,0,0,2.682,,AEF,,CON
68,gris,7/15/2021,2021196,clover,RCON,1,P,114,2.056904851,3.525268,3.96,AEF,huge worker?,CON
69,imp,7/15/2021,2021196,clover,RCON,1,A,0,0,2.613,,AEF,,CON
70,bimac,7/15/2021,2021196,clover,RCON,1,A,0,0,2.713,,AEF,,CON
71,imp,7/15/2021,2021196,clover,RCON,1,P,137,2.136720567,3.031872,3.34,EK,,CON
72,NA,7/15/2021,2021196,clover,RCON,1,NA,NA,NA,NA,,AEF,,CON
73,bimac,7/15/2021,2021196,clover,RCON,1,P,401,2.603144373,2.834,,EK,,CON
74,imp,7/15/2021,2021196,clover,RCON,1,A,0,0,2.713,,AEF,,CON
75,gris,7/15/2021,2021196,clover,RCON,1,P,1,0,3.175116,3.52,EK,,CON
76,gris,7/15/2021,2021196,clover,RCON,1,A,0,0,NA,,AEF,not the forewing,CON
77,bimac,7/15/2021,2021196,clover,RCON,1,P,261,2.416640507,3.03,,AEF,,CON
78,NA,7/15/2021,2021196,NA,RCON,1,NA,NA,NA,NA,,AEF,,CON
79,imp,7/19/2021,2021200,echinacea,SIMP,1,NA,NA,NA,NA,,EK,died on dissection 7/20,CON
80,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,NA,,EK,no wing ,CON
81,imp,7/19/2021,2021200,zinnia,SIMP,1,A,0,0,2.674,,EK,,CON
82,imp,7/19/2021,2021200,cosmos,SIMP,1,A,0,0,2.987,,EK,,CON
