date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
7/21/2021,1,LAUR,rudbeckia,1,143,10,7,100.1,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,zinnia,1,99,10,3,29.7,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,zinnia,1,140,10,4,56,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,rudbeckia,1,38,38,16,16,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,zinnia,1,321,10,4,128.4,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,rudbeckia,1,36,36,9,9,KT,nsfcut,cut,row,
7/21/2021,1,LAUR,rudbeckia,1,7,7,5,5,KT,nsfcut,cut,row,blackeye!
7/21/2021,1,LAUR,cosmos,1,184,10,8,147.2,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,26,10,23,59.8,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,25,10,55,137.5,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,ageratum,1,15,3,10,50,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,130,15,7,60.66666667,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,200,10,10,200,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,130,10,20,260,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,93,10,21,195.3,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,2,18,10,12,43.2,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,162,10,6,97.2,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,cosmos,1,10,10,7,7,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,60,10,8,48,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,142,10,6,85.2,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,34,10,6,20.4,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,20,10,17,34,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,108,10,7,75.6,KT,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,5,360,50,149,5364,TK,nsfcut,cut,row,small
7/22/2021,1,LAUR,zinnia,5,360,50,17,612,TK,nsfcut,cut,row,big
7/22/2021,1,LAUR,zinnia,9,360,20,21,3402,TK,nsfcut,cut,row,small
7/22/2021,1,LAUR,zinnia,1,200,20,21,210,TK,nsfcut,cut,row,big
7/22/2021,1,LAUR,zinnia,1,66,20,21,69.3,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,240,20,21,252,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,2,360,20,21,756,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,197,10,5,98.5,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,60,10,4,24,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,323,10,12,387.6,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,127,10,4,50.8,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,73,10,5,36.5,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,95,10,4,38,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,calendula,1,271,10,10,271,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,378,10,53,2003.4,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,91,10,6,54.6,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,181,10,44,796.4,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,360,10,5,180,TK,nsfcut,cut,row,
7/22/2021,1,LAUR,zinnia,1,100,10,5,50,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,1,115,10,13,149.5,RY,nsfcut,cut,row,quadren 3 row 7 start here
7/23/2021,1,LAUR,aster,1,1,1,20,20,RY,nsfcut,cut,row,
7/23/2021,1,LAUR,centaurea,1,42,10,8,33.6,KT,nsfcut,cut,row,
7/23/2021,1,LAUR,ageratum,1,215,10,70,1505,KT,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,1,1,1,21,21,KT,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,2,35,35,8,16,KT,nsfcut,cut,row,
7/23/2021,1,LAUR,zinnia,1,100,10,9,90,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,zinnia,1,100,10,4,40,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,zinnia,1,100,10,4,40,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,zinnia,1,100,10,1,10,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,zinnia,1,100,10,3,30,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,1,173,10,7,121.1,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,1,183,10,7,128.1,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,ageratum,1,129,10,100,1290,TK,nsfcut,cut,row,
7/23/2021,1,LAUR,cosmos,1,115,10,6,69,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,ageratum,1,11.5,11.5,48,48,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,32,10,9,28.8,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,helianthus,1,10,10,25,25,TK,sf,cut,row,sterile
7/26/2021,1,GOLO,zinnia,1,131,10,21,275.1,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,dahlia,1,17,17,16,16,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,ageratum,1,13,5,110,286,TK,nsfcut,cut,row,
7/26/2021,1,GOLO,ageratum,1,8,5,119,190.4,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,47.5,10,15,71.25,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,6,6,12,12,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,centaurea,1,10,10,35,35,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,cosmos,1,4,4,11,11,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,14,14,24,24,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,10,10,19,19,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,zinnia,1,21,10,8,16.8,KT,nsfcut,cut,row,
7/26/2021,1,GOLO,eutrochium,1,39,5,36,280.8,KT,border,border,row,wild on side of farm
7/26/2021,1,GOLO,eutrochium,1,17,5,36,122.4,KT,border,border,row,wild on side of farm
7/28/2021,2,RCUT,tanacetum,1,47,5,80,752,RY,nsfcut,cut,row,
7/28/2021,2,RCUT,zinnia,1,20,5,40,160,RY,nsfcut,cut,row,
7/28/2021,2,RCUT,zinnia,1,38,5,10,76,RY,nsfcut,cut,row,
7/28/2021,2,RCUT,helipterum,1,13,5,29,75.4,RY,nsfcut,cut,row,
7/28/2021,2,RCUT,zinnia,1,49,5,89,872.2,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,zinnia,1,152,5,20,608,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,aster,1,15,5,18,54,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,ageratum,1,52,5,125,1300,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,ammobium,1,12,5,85,204,SG,nsfcut,cut,row,daisy paper leaf flower? Picture in phone on notes. Do not know when the actual genera is 
7/28/2021,2,RCUT,tanacetum,1,13,2,240,1560,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,tanacetum,1,112,5,160,3584,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,calendula,1,13,5,21,54.6,SG,nsfcut,cut,row,
7/28/2021,2,RCUT,ageratum,1,11,5,125,275,SG,nsfcut,cut,row,
